grove,modelid,modeltype,npred,sampleid,mart_losscri_reg,mse,rmse,mad,mape,rsquared,rsquarednorm
BOSTN2_RF,0,treenet,10,learn,9,20.3762,4.514,2.92661,0.150874,0.769713,0.828442
BOSTN2_RF,0,treenet,10,test,9,12.1911,3.49157,2.7995,0.171631,0.800703,0.816786
BOSTN2_HUBER,0,treenet,12,learn,4,15.489,3.93561,2.43309,0.119649,0.824946,0.856754
BOSTN2_HUBER,0,treenet,12,test,4,11.2928,3.36048,2.67238,0.159835,0.815388,0.837039
BOSTN2_GAMMA,0,treenet,13,learn,12,13.4961,3.6737,2.4387,0.118172,0.84747,0.885017
BOSTN2_GAMMA,0,treenet,13,test,12,10.5658,3.25051,2.59367,0.154312,0.827273,0.849149
BOSTN2_LAD,0,treenet,13,learn,1,24.5683,4.95664,2.80543,0.133804,0.722334,0.79481
BOSTN2_LAD,0,treenet,13,test,1,15.5581,3.94438,2.87463,0.173144,0.745659,0.79086
BOSTN2_TWEEDIE,0,treenet,13,learn,15,13.3411,3.65255,2.45014,0.121652,0.849221,0.883387
BOSTN2_TWEEDIE,0,treenet,13,test,15,10.5647,3.25034,2.62155,0.159353,0.82729,0.852001
BOSTN2_LS,0,treenet,13,learn,2,13.042,3.61137,2.45222,0.127232,0.852602,0.882532
BOSTN2_LS,0,treenet,13,test,2,10.7262,3.27509,2.66585,0.166271,0.824651,0.853353
